(iter: 6100) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 6200) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 6300) Current best is [010000010000110010 , 010000001101111011] ([0.820 , 0.680]) with a rating of 0.039
(iter: 6400) Current best is [010000010000110010 , 010000001101111011] ([0.820 , 0.680]) with a rating of 0.039
(iter: 6500) Current best is [010000010000110010 , 010000001101111011] ([0.820 , 0.680]) with a rating of 0.039
(iter: 6600) Current best is [010000010000110010 , 010000001101111011] ([0.820 , 0.680]) with a rating of 0.039
(iter: 6700) Current best is [010000010000110010 , 010000001101111011] ([0.820 , 0.680]) with a rating of 0.039
(iter: 6800) Current best is [010000010000110010 , 010000001101111011] ([0.820 , 0.680]) with a rating of 0.039
(iter: 6900) Current best is [010000010000110010 , 010000001101111011] ([0.820 , 0.680]) with a rating of 0.039
(iter: 7000) Current best is [010000010000110010 , 010000001101111011] ([0.820 , 0.680]) with a rating of 0.039
(iter: 7100) Current best is [010000010000110010 , 010000001101111011] ([0.820 , 0.680]) with a rating of 0.039
(iter: 7200) Current best is [010000010010011101 , 010000010000011101] ([0.901 , 0.804]) with a rating of 0.017
(iter: 7300) Current best is [010000010010011101 , 010000010000011101] ([0.901 , 0.804]) with a rating of 0.017
(iter: 7400) Current best is [010000010010011101 , 010000010000011101] ([0.901 , 0.804]) with a rating of 0.017
(iter: 7500) Current best is [010000010010011101 , 010000010000011101] ([0.901 , 0.804]) with a rating of 0.017
(iter: 7600) Current best is [010000010010011101 , 010000010000011101] ([0.901 , 0.804]) with a rating of 0.017
(iter: 7700) Current best is [010000010101000111 , 010000010101111111] ([1.031 , 1.074]) with a rating of 0.013
(iter: 7800) Current best is [010000010101000111 , 010000010101111111] ([1.031 , 1.074]) with a rating of 0.013
(iter: 7900) Current best is [010000010101000111 , 010000010101111111] ([1.031 , 1.074]) with a rating of 0.013
(iter: 8000) Current best is [010000010101000111 , 010000010101111111] ([1.031 , 1.074]) with a rating of 0.013
(iter: 8100) Current best is [010000010101000111 , 010000010101111111] ([1.031 , 1.074]) with a rating of 0.013
(iter: 8200) Current best is [010000010101000111 , 010000010101111111] ([1.031 , 1.074]) with a rating of 0.013
(iter: 8300) Current best is [010000010101000111 , 010000010101111111] ([1.031 , 1.074]) with a rating of 0.013
(iter: 8400) Current best is [010000010101000111 , 010000010101111111] ([1.031 , 1.074]) with a rating of 0.013
(iter: 8500) Current best is [010000010101000111 , 010000010101111111] ([1.031 , 1.074]) with a rating of 0.013
(iter: 8600) Current best is [010000010101000111 , 010000010101111111] ([1.031 , 1.074]) with a rating of 0.013
(iter: 8700) Current best is [010000010101000111 , 010000010101111111] ([1.031 , 1.074]) with a rating of 0.013
(iter: 8800) Current best is [010000010101000111 , 010000010101111111] ([1.031 , 1.074]) with a rating of 0.013
(iter: 8900) Current best is [010000010101000111 , 010000010101111111] ([1.031 , 1.074]) with a rating of 0.013
(iter: 9000) Current best is [010000010101000111 , 010000010101111111] ([1.031 , 1.074]) with a rating of 0.013
(iter: 9100) Current best is [010000010101000111 , 010000010101111111] ([1.031 , 1.074]) with a rating of 0.013
(iter: 9200) Current best is [010000010101000111 , 010000010101111111] ([1.031 , 1.074]) with a rating of 0.013
(iter: 9300) Current best is [010000010101000111 , 010000010101111111] ([1.031 , 1.074]) with a rating of 0.013
(iter: 9400) Current best is [010000010101101010 , 010000010110111001] ([1.058 , 1.118]) with a rating of 0.003
(iter: 9500) Current best is [010000010101101010 , 010000010110111001] ([1.058 , 1.118]) with a rating of 0.003
(iter: 9600) Current best is [010000010101101010 , 010000010110111001] ([1.058 , 1.118]) with a rating of 0.003
(iter: 9700) Current best is [010000010101101010 , 010000010110111001] ([1.058 , 1.118]) with a rating of 0.003
(iter: 9800) Current best is [010000010101101010 , 010000010110111001] ([1.058 , 1.118]) with a rating of 0.003
(iter: 9900) Current best is [010000010101101010 , 010000010110111001] ([1.058 , 1.118]) with a rating of 0.003
(iter: 10000) Current best is [010000010101101010 , 010000010110111001] ([1.058 , 1.118]) with a rating of 0.003
Finally,
Best found is [010000010101101010 , 010000010110111001] ([1.058 , 1.118]) with a rating of 0.003
